Athlete,overall_rank,overall_score,X14_1_rank,X14_1_score,X14_2_rank,X14_2_score,X14_3_rank,X14_3_score,X14_4_rank,X14_4_score,X14_5_rank,X14_5_score,region,gender
John Lytle,39,379,61,367,95,238,90,149,53,209,80,11:07,centraleast,m
Gary Hinton,40,388,67,364,64,246,6,163,129,197,122,11:32,centraleast,m
Tate Rivera,41,390,130,355,18,269,14,159,188,196,40,10:27,centraleast,m
Brian Rottinghaus,42,392,52,370,52,254,116,148,89,200,83,11:08,centraleast,m
Brett Sepi,43,410,142,354,111,206,93,149,36,215,28,10:18,centraleast,m
Andrew Charlesworth,43,410,51,371,105,232,29,154,135,197,90,11:14,centraleast,m
Joseph Tortora,45,412,177,351,37,259,52,151,79,201,67,10:59,centraleast,m
Craig Charton,46,415,243,347,18,269,11,161,30,219,113,11:27,centraleast,m
Joshua Belville,47,426,19,392,108,207,58,151,40,214,201,12:07,centraleast,m
Kirk Bacsu,48,433,9,399,108,207,156,146,107,199,53,10:51,centraleast,m
Jonathan Wolf,48,433,78,360,117,205,73,150,104,199,61,10:56,centraleast,m
Travis Page,50,434,57,369,23,268,257,143,47,211,50,10:49,centraleast,m
Andy Angelo,51,439,69,363,155,201,170,145,35,215,10,09:49,centraleast,m
Evan Beach,52,460,48,372,100,236,135,147,21,223,156,11:50,centraleast,m
Caleb Gregory,53,485,11,397,135,203,218,144,64,205,57,10:55,centraleast,m
Thomas Cox,54,502,26,390,86,240,83,150,112,199,195,12:05,centraleast,m
Shawn Stauffer,55,516,39,381,161,200,47,152,85,200,184,12:00,centraleast,m
Adam Rogers,56,523,130,355,135,203,70,150,102,199,86,11:11,centraleast,m
Joe Garnes,57,543,78,360,64,246,236,144,69,204,96,11:17,centraleast,m
Peter Brasovan,58,546,130,355,171,199,96,149,59,207,90,11:14,centraleast,m
Austin Moncivaez,59,560,101,358,16,272,310,142,61,205,72,11:04,centraleast,m
Matt Scheffer,60,589,209,349,71,244,178,145,51,210,80,11:07,centraleast,m
Jakob Magnusson,1,81,3,406,9,278,22,155,24,234,23,10:03,europe,m
Björgvin Karl Guðmundsson,2,92,44,390,2,338,24,154,3,251,19,09:57,europe,m
Lukas Högberg,3,99,32,392,20,270,28,154,6,250,13,09:47,europe,m
Jonne Koski,4,102,2,414,7,324,53,151,19,237,21,10:00,europe,m
Sigurður Þrastarson,5,105,1,417,25,268,27,154,31,229,21,10:00,europe,m
Jordan Wallace,6,112,20,396,8,323,59,151,23,234,2,09:16,europe,m
Frederik Aegidius,7,118,4,405,23,269,76,149,5,250,10,09:38,europe,m
Frosti Gylfason,8,128,11,402,19,272,9,160,57,220,32,10:10,europe,m
Stefano Migliorini,9,131,12,401,34,263,23,154,27,230,35,10:11,europe,m
Antony Monks,10,135,17,397,65,255,10,160,13,242,30,10:09,europe,m
Numi Katrinarson,11,138,87,370,1,350,33,153,9,245,8,09:31,europe,m
Lacee Kovacs,12,162,111,360,2,338,40,152,4,251,5,09:24,europe,m
Andy Edwards,13,167,17,397,37,262,41,152,69,213,3,09:18,europe,m
Lukas Esslinger,14,176,20,396,32,264,74,149,12,244,38,10:13,europe,m
Matt Rodwell,15,193,16,398,13,274,19,156,51,221,94,10:56,europe,m
Christer Idland,15,193,20,396,32,264,75,149,25,233,41,10:18,europe,m
Robert Manlove,17,211,44,390,13,274,86,149,17,239,51,10:24,europe,m
Gregor Schregle,18,212,8,403,37,262,21,156,22,235,124,11:10,europe,m
Jonas Mueller,19,267,8,403,6,329,237,144,15,241,1,09:13,europe,m
Alexandre Jolivet,20,279,13,399,109,234,2,175,96,207,59,10:30,europe,m
Philip Bengtsson,21,283,111,360,18,273,11,160,46,222,97,10:58,europe,m
Riccardo Donati,22,315,4,405,12,276,273,143,14,241,12,09:41,europe,m
Liam Hogan,23,351,64,384,192,200,16,158,47,221,32,10:10,europe,m
Mitchell Adams,23,351,111,360,37,262,150,146,26,232,27,10:06,europe,m
Laurent CAMPS,25,352,32,392,37,262,193,145,67,214,23,10:03,europe,m
Sam Henderson,26,354,20,396,37,262,3,173,223,197,71,10:38,europe,m
David Carlsson,27,357,25,395,115,207,12,160,60,216,145,11:19,europe,m
Alec Harwood,28,360,67,380,25,268,116,147,40,224,112,11:05,europe,m
Will Kane,29,363,25,395,4,334,317,142,2,253,15,09:54,europe,m
Lee Howe,30,377,59,387,78,249,54,151,91,208,95,10:57,europe,m
Davide Marini,31,387,13,399,246,196,92,148,29,230,7,09:30,europe,m
Viktor Långsved,32,399,25,395,57,257,238,144,42,224,37,10:12,europe,m
Bartlomiej Lipka,33,401,44,390,37,262,144,146,116,203,60,10:32,europe,m
Arnar Sigurðsson,34,405,39,391,9,278,219,144,62,216,76,10:47,europe,m
David Shorunke,35,414,103,363,62,256,205,145,16,240,28,10:07,europe,m
Marc Ordeig,36,416,184,354,4,334,216,144,1,260,11,09:39,europe,m
Casper Gammelmark,37,430,98,364,73,251,134,147,122,202,3,09:18,europe,m
Elliot Simmonds,37,430,111,360,127,206,93,148,64,215,35,10:11,europe,m
John Reid,39,433,203,353,89,244,13,159,20,236,108,11:04,europe,m
Eiríkur Baldursson,40,436,136,358,34,263,155,146,8,245,103,11:00,europe,m
Mareck Bigler,41,447,32,392,13,274,327,142,21,235,54,10:27,europe,m
Steven Fawcett,42,448,136,358,28,267,260,143,18,238,6,09:27,europe,m
Benjamin Massey,43,450,107,361,57,257,115,147,139,200,32,10:10,europe,m
Tom Burnell,44,452,44,390,130,205,73,149,161,199,44,10:20,europe,m
Filip Yang Fisker,45,453,67,380,103,238,97,148,136,200,50,10:23,europe,m
Rob Martin,46,461,303,348,23,269,29,154,35,228,71,10:38,europe,m
Mads Rasmussen,47,474,105,362,20,270,278,143,11,245,60,10:32,europe,m
Samuel Gallego,48,476,252,350,13,274,71,149,52,220,88,10:53,europe,m
Richard Vanmeerbeek,49,480,73,377,98,241,31,153,105,206,173,11:29,europe,m
Christophe Besnard,50,486,98,364,62,256,61,151,247,197,18,09:56,europe,m
florent paillasson,51,490,39,391,192,200,17,157,228,197,14,09:48,europe,m
Joakim Ro-Poulsen,52,491,44,390,153,203,41,152,70,213,183,11:32,europe,m
Anders Gronsund,53,508,111,360,11,277,307,142,59,217,20,09:59,europe,m
Adam Shackell,53,508,32,392,89,244,56,151,30,229,301,11:56,europe,m
Scott Jenkins,53,508,111,360,78,249,34,153,129,201,156,11:23,europe,m
Malte Rommedahl,56,533,57,389,57,257,231,144,142,200,46,10:22,europe,m
Barry McDermott,57,554,105,362,115,207,193,145,28,230,113,11:06,europe,m
Anže Benko,58,559,111,360,37,262,292,143,39,224,80,10:49,europe,m
Dan Forster,59,578,98,364,94,242,178,145,123,202,85,10:51,europe,m
Karl Thorpe,60,582,215,352,31,265,94,148,188,199,54,10:27,europe,m
Leonidas Jenkins,1,40,2,396,3,265,23,144,1,228,11,11:10,latinamerica,m
Orlando Trejo,2,50,21,354,6,259,19,146,3,215,1,09:45,latinamerica,m
Mark Desin,3,93,10,359,49,197,10,149,4,213,20,11:31,latinamerica,m
Tarcio Santos Ferreira,4,106,5,386,8,257,71,139,13,198,9,11:00,latinamerica,m
Joaquin Jadue,5,136,11,358,32,200,9,150,2,218,82,12:40,latinamerica,m
Alan Garcia,6,141,32,351,22,205,40,141,38,195,9,11:00,latinamerica,m
Moises Sevilla,7,156,4,391,41,198,4,153,84,192,23,11:32,latinamerica,m
Joel Bran,8,157,14,356,109,184,1,159,25,196,8,10:58,latinamerica,m
Titus Thut,9,158,38,350,5,260,52,140,26,196,37,12:01,latinamerica,m
Emanuel Aponte,10,165,75,342,40,199,29,143,9,199,12,11:16,latinamerica,m
Batuque Iribarren,11,178,100,334,41,198,14,147,10,198,13,11:17,latinamerica,m
Conor Murphy,12,191,44,348,11,245,100,138,20,197,16,11:24,latinamerica,m
Rodrigo Valenzuela,13,194,79,341,9,250,59,140,43,195,4,10:32,latinamerica,m
Emmanuel Maldonado,14,211,114,326,27,202,25,144,27,196,18,11:27,latinamerica,m
Stefano Orsini,15,241,120,324,27,202,43,141,21,197,30,11:47,latinamerica,m
Trevor Amodeo,16,249,143,315,18,229,45,141,23,197,20,11:31,latinamerica,m
Francisco Javier,17,271,120,324,64,193,37,142,5,212,45,12:13,latinamerica,m
Cassiano Lessing,18,272,13,357,87,189,5,153,111,190,56,12:21,latinamerica,m
Francis Torres,19,273,103,331,61,194,57,140,19,197,33,11:58,latinamerica,m
Fernando Villafaña,20,286,17,355,10,249,140,136,59,193,60,12:23,latinamerica,m
Marco Ramirez,21,293,27,352,165,175,38,142,6,208,57,12:22,latinamerica,m
Luis Giraldo,22,294,58,345,13,241,35,142,73,193,115,12:58,latinamerica,m
Juan Cruz Sartori,23,295,58,345,22,205,183,135,27,196,5,10:53,latinamerica,m
Evan Yoak,23,295,6,370,116,183,16,146,15,198,142,13:16,latinamerica,m
Kevin Vega,25,316,11,358,58,195,15,147,17,198,215,13:51,latinamerica,m
Bruno Santos Feitosa,26,332,17,355,53,196,74,139,169,188,19,11:30,latinamerica,m
Javier Hidalgo,27,340,17,355,144,177,26,144,18,198,135,13:14,latinamerica,m
Alfredo Escobar,28,342,92,335,12,243,222,134,13,198,3,10:30,latinamerica,m
William Rivera landron,29,352,143,315,144,177,3,155,37,195,25,11:35,latinamerica,m
Luis Vildosola,30,363,38,350,241,142,8,150,51,194,25,11:35,latinamerica,m
anderon primo,31,383,7,368,41,198,96,138,101,191,138,13:15,latinamerica,m
Enrique Torano,32,398,58,345,228,143,31,143,48,194,33,11:58,latinamerica,m
Artur Machado,33,400,49,347,27,202,84,139,185,188,55,12:20,latinamerica,m
Zathan Simpson,34,408,75,342,147,176,139,136,12,198,35,11:59,latinamerica,m
Martin Robledo,34,408,140,316,32,200,151,136,46,195,39,12:05,latinamerica,m
Giancarlo Vera Ochoa,36,414,103,331,53,196,88,138,150,189,20,11:31,latinamerica,m
Tiago Lopes,37,442,128,320,104,185,90,138,32,196,88,12:42,latinamerica,m
Carlos Lopez,38,444,169,314,116,183,27,143,40,195,92,12:45,latinamerica,m
Douglas Oberbeck,39,451,44,348,82,190,163,136,8,200,154,13:24,latinamerica,m
Luis Emilio Barcia Ubillus,40,452,191,312,49,197,49,141,106,191,57,12:22,latinamerica,m
Alvaro Lopez,41,454,49,347,6,259,323,131,31,196,45,12:13,latinamerica,m
Luiz Mello,42,459,87,337,68,192,63,140,63,193,178,13:33,latinamerica,m
Pepe Alvarez,43,465,80,340,61,194,277,132,42,195,5,10:53,latinamerica,m
Jovaldo Miranda Valdivia,44,474,140,316,135,179,113,137,47,194,39,12:05,latinamerica,m
Johnny Chong Pico,45,497,103,331,32,200,168,135,86,192,108,12:55,latinamerica,m
Casey Wylie,46,500,89,336,32,200,131,137,91,192,157,13:25,latinamerica,m
Augusto Castro,47,513,58,345,17,232,32,143,21,197,385,14:52,latinamerica,m
Keith Kandetzke,48,515,169,314,116,183,20,146,41,195,169,13:29,latinamerica,m
Lucas Rosa,49,522,49,347,259,141,110,137,7,207,97,12:47,latinamerica,m
Javier Meza,50,532,32,351,116,183,166,135,167,188,51,12:16,latinamerica,m
Dennis Kok,51,533,43,349,128,180,27,143,112,190,223,13:59,latinamerica,m
Esteban Burgos,52,546,27,352,79,191,52,140,372,184,16,11:24,latinamerica,m
jose escudero,53,556,312,306,53,196,71,139,113,190,7,10:57,latinamerica,m
Claudio Poblete,53,556,131,319,41,198,119,137,175,188,90,12:43,latinamerica,m
Andres Lee,55,563,87,337,68,192,204,134,126,190,78,12:36,latinamerica,m
Evaristo Cortes,56,581,55,346,368,136,22,145,44,195,92,12:45,latinamerica,m
Sebastian Stange,57,585,8,360,147,176,149,136,65,193,216,13:53,latinamerica,m
Daniel Martínez massa,57,585,143,315,87,189,103,138,16,198,236,14:02,latinamerica,m
Jonathan Noreña,57,585,131,319,147,176,64,140,54,194,189,13:38,latinamerica,m
Agustin Garavaglia,60,618,58,345,241,142,33,143,223,187,63,12:25,latinamerica,m
Ben Smith,1,11,3,433,1,353,4,175,1,265,2,09:16,midatlantic,m
Gary Helmick,2,87,50,383,8,275,19,159,3,246,7,09:35,midatlantic,m
Nathan Keil,3,105,15,398,5,278,40,153,16,228,29,10:18,midatlantic,m
Nathan Bramblett,4,111,15,398,33,261,8,164,27,221,28,10:17,midatlantic,m
Nate Schrader,5,126,45,387,60,252,1,182,12,233,8,09:45,midatlantic,m
Michael Priest,6,138,5,406,8,275,72,150,17,227,36,10:25,midatlantic,m
Adam Klink,7,168,21,395,39,259,32,155,44,213,32,10:20,midatlantic,m
Cody Loeffler,8,170,1,439,15,271,13,160,96,199,45,10:34,midatlantic,m
Sean Sweeney,9,182,86,360,28,262,18,159,4,245,46,10:35,midatlantic,m
Falke Verwer,10,185,2,438,66,250,2,177,82,200,33,10:22,midatlantic,m
Thomas Nay,11,194,15,398,4,310,82,150,40,214,53,10:40,midatlantic,m
Brad Chilva,12,210,23,394,68,248,41,153,6,242,72,10:51,midatlantic,m
David Borrelli,13,232,45,387,12,273,128,147,9,235,38,10:28,midatlantic,m
Joshua Arcona,14,242,6,405,42,258,10,163,22,224,162,11:32,midatlantic,m
Cj JACOBSEN,15,259,113,357,22,265,92,149,21,225,11,09:47,midatlantic,m
Josh Wagner,16,269,27,392,70,246,30,155,98,199,44,10:32,midatlantic,m
Jordan Troyan,17,297,145,355,18,268,119,148,5,245,10,09:46,midatlantic,m
Craig Williams,18,311,131,356,46,257,35,154,35,218,64,10:46,midatlantic,m
Anthony Kurz,19,318,50,383,54,254,50,152,104,199,60,10:45,midatlantic,m
Shawn Butler,20,326,18,397,42,258,69,151,13,230,184,11:41,midatlantic,m
Sonny Zickefoose,21,334,14,399,195,200,44,153,23,224,58,10:43,midatlantic,m
Kent Ingalls,22,343,104,359,6,276,139,147,60,208,34,10:24,midatlantic,m
Adam Blaney,22,343,86,360,28,262,188,145,20,225,21,10:09,midatlantic,m
Jim Crowell,24,345,71,366,23,264,102,148,89,200,60,10:45,midatlantic,m
Paul Buono,25,349,37,390,140,204,107,148,61,208,4,09:25,midatlantic,m
Sean Thomson,26,376,109,358,2,322,230,144,32,220,3,09:17,midatlantic,m
Mike Juricich,27,378,55,382,13,272,178,145,126,198,6,09:31,midatlantic,m
Hunter Wood,28,390,161,354,23,264,67,151,85,200,54,10:41,midatlantic,m
Todd Edmunds,29,397,75,364,172,202,9,164,119,198,22,10:11,midatlantic,m
Nicky Hoberman,30,399,145,355,90,241,60,151,65,207,39,10:29,midatlantic,m
Ray Gutierrez,31,407,10,403,184,201,48,152,139,197,26,10:16,midatlantic,m
Chris Martirano,32,411,37,390,172,202,47,153,37,217,118,11:14,midatlantic,m
Uriah Aviles,33,413,113,357,20,267,89,149,140,197,51,10:38,midatlantic,m
Preston Austin,34,419,72,365,46,257,73,150,146,197,82,10:56,midatlantic,m
John Zvejnieks,35,425,77,363,90,241,150,146,36,218,72,10:51,midatlantic,m
Daniel Skidmore,36,428,113,357,54,254,65,151,43,213,153,11:29,midatlantic,m
Kyle Ruth,37,435,113,357,34,260,46,153,82,200,160,11:31,midatlantic,m
jason baity,38,447,173,353,51,256,45,153,93,200,85,10:57,midatlantic,m
Tyler Cox,39,449,187,352,46,257,88,149,10,235,118,11:14,midatlantic,m
Ben Sturgill,40,474,86,360,140,204,75,150,62,208,111,11:12,midatlantic,m
Erik Christensen,41,479,131,356,75,244,11,162,33,220,229,11:58,midatlantic,m
Jeremy Priar,42,481,66,370,107,236,6,173,124,198,178,11:38,midatlantic,m
Clifford Kohut,43,492,187,352,18,268,209,144,24,222,54,10:41,midatlantic,m
Will Hall,44,506,145,355,87,242,68,151,102,199,104,11:08,midatlantic,m
Ryan Troupe,45,511,21,395,28,262,105,148,340,192,17,10:01,midatlantic,m
Jonathan Morgan,46,531,20,396,102,238,20,158,164,197,225,11:56,midatlantic,m
Kevin Grear,47,550,187,352,39,259,199,145,31,220,94,11:01,midatlantic,m
Matt Gutierrez,48,555,55,382,75,244,43,153,243,194,139,11:24,midatlantic,m
Michael Tancini,49,570,262,348,17,269,125,147,99,199,67,10:47,midatlantic,m
Zach Brock,50,578,86,360,20,267,438,140,19,227,15,09:58,midatlantic,m
Nathan Trevillian,51,589,18,397,3,317,553,138,2,252,13,09:53,midatlantic,m
Jonathan Bostic,52,590,86,360,113,234,84,150,103,199,204,11:48,midatlantic,m
George Caroulis,53,606,109,358,73,245,332,141,41,214,51,10:38,midatlantic,m
Brad Weiss,54,608,86,360,140,204,24,156,105,199,253,12:05,midatlantic,m
Tyler Trettin,55,624,62,375,90,241,231,144,97,199,144,11:26,midatlantic,m
Kurt Miller,56,649,173,353,75,244,200,145,122,198,79,10:54,midatlantic,m
Wendell Watson,57,665,161,354,140,204,29,156,306,193,29,10:18,midatlantic,m
Ryan Bauer,58,675,82,361,75,244,152,146,255,194,111,11:12,midatlantic,m
Thomas Hooton,59,677,27,392,302,193,74,150,81,200,193,11:44,midatlantic,m
Robert Fitzpatrick,60,679,203,351,245,196,83,150,84,200,64,10:46,midatlantic,m
Bobby Noyce,1,28,4,407,3,331,7,169,3,246,11,09:49,northcentral,m
Jacob Heppner,2,86,14,398,1,345,66,152,2,247,3,09:09,northcentral,m
Alex Nettey,3,89,38,390,11,276,16,157,1,251,23,10:11,northcentral,m
Duke Burk,4,96,38,390,7,278,29,155,14,229,8,09:36,northcentral,m
Phillip Kniep,5,103,20,395,28,266,12,159,15,229,28,10:24,northcentral,m
Shane McBride,6,111,20,395,13,274,27,155,35,219,16,09:54,northcentral,m
Michael Bodi,7,113,17,396,32,264,3,175,7,236,54,10:43,northcentral,m
Justin Allen,8,117,15,397,42,257,6,172,4,240,50,10:40,northcentral,m
Andrew Kuechler,9,129,53,386,4,330,61,152,8,233,3,09:09,northcentral,m
Nick Bloch,10,182,1,437,146,203,2,178,25,223,8,09:36,northcentral,m
Luke Reiland,11,190,8,403,91,243,13,159,12,231,66,10:50,northcentral,m
Kyle Kasperbauer,12,195,25,393,50,254,90,150,28,222,2,08:54,northcentral,m
Dylan Kelly,13,197,23,394,137,204,5,173,18,226,14,09:51,northcentral,m
Jared Stevens,14,209,55,385,32,264,84,150,5,238,33,10:27,northcentral,m
Nate Dunfee,15,213,38,390,34,263,4,175,77,206,60,10:48,northcentral,m
Brandon Pastorek,16,214,91,371,24,268,36,154,13,230,50,10:40,northcentral,m
Drake Lambdin,17,226,38,390,18,272,78,150,32,220,60,10:48,northcentral,m
Matt Strand,18,236,17,396,39,259,58,152,79,205,43,10:36,northcentral,m
Andrew Porter,19,240,66,378,20,270,75,150,51,214,28,10:24,northcentral,m
Danny Burk,20,244,25,393,13,274,130,148,61,211,15,09:52,northcentral,m
Roderick Holloway,21,288,60,381,9,277,148,147,16,228,55,10:44,northcentral,m
Brice Collier,22,300,29,392,35,262,162,147,30,221,44,10:37,northcentral,m
Tony Koens,23,313,38,390,24,268,42,153,113,199,96,11:09,northcentral,m
Armand McCormick,24,314,60,381,66,250,69,151,34,220,85,11:02,northcentral,m
Colin Cartee,25,318,32,391,13,274,39,153,163,197,71,10:56,northcentral,m
Zak Carchedi,26,320,59,383,43,256,70,151,112,199,36,10:31,northcentral,m
Dre Strohm,27,329,25,393,85,244,11,160,11,232,197,11:48,northcentral,m
Reggie Hoegh,28,331,5,405,55,253,99,149,161,197,11,09:49,northcentral,m
Tyler Resch,29,333,71,377,114,222,88,150,38,218,22,10:06,northcentral,m
Andreas Janzen,30,339,55,385,30,265,127,148,94,200,33,10:27,northcentral,m
Kameron Rosenau,31,351,63,380,41,258,159,147,62,210,26,10:20,northcentral,m
Tyler Brungardt,32,358,82,373,103,237,35,154,48,214,90,11:05,northcentral,m
Charlie Donohue,33,388,333,347,2,344,34,154,18,226,1,08:42,northcentral,m
Kyle Flickinger,34,390,271,350,6,279,31,155,27,222,55,10:44,northcentral,m
Drew Hymer,35,408,38,390,18,272,51,153,198,196,103,11:12,northcentral,m
Jesse Bahrke,35,408,117,360,55,253,130,148,43,217,63,10:49,northcentral,m
Robert McCord,37,411,66,378,146,203,109,149,72,207,18,09:59,northcentral,m
Kenny Brown,38,423,192,354,85,244,86,150,32,220,28,10:24,northcentral,m
JR Kremer,39,438,9,402,196,199,43,153,99,200,91,11:07,northcentral,m
Ryan Funderburg,39,438,100,365,72,248,126,148,104,200,36,10:31,northcentral,m
Sinan Gocmen,41,456,3,410,43,256,39,153,150,198,221,11:53,northcentral,m
Josh Silvernail,42,459,17,396,69,249,106,149,22,225,245,11:59,northcentral,m
Arlen Castenada,43,465,66,378,38,260,20,157,88,202,253,12:06,northcentral,m
Kevin Schuetz,44,468,38,390,283,194,24,156,41,218,82,11:01,northcentral,m
Kyle Spears,45,481,171,356,55,253,147,147,101,200,7,09:34,northcentral,m
Andrew Wissmann,46,488,15,397,96,241,97,150,220,196,60,10:48,northcentral,m
Casey McCallister,47,492,2,428,96,241,286,143,40,218,68,10:52,northcentral,m
Joshua Page,48,504,285,349,72,248,26,155,96,200,25,10:17,northcentral,m
Travis Stoetzel,49,506,85,372,24,268,120,149,56,211,221,11:53,northcentral,m
Justin Dewing,50,507,117,360,125,205,194,146,44,217,27,10:22,northcentral,m
Daniel Lunney,51,509,141,359,55,253,130,148,131,198,52,10:41,northcentral,m
Marshall Creed,52,517,32,391,9,277,465,140,6,237,5,09:10,northcentral,m
John McCardle,52,517,150,358,20,270,21,156,238,195,88,11:04,northcentral,m
Joshua Rose,54,541,141,359,168,201,76,150,120,199,36,10:31,northcentral,m
Breck Berry,55,562,71,377,103,237,150,147,142,198,96,11:09,northcentral,m
Ben Schmidt,56,595,192,354,43,256,289,143,39,218,32,10:26,northcentral,m
Wayne Thompson,57,606,50,387,196,199,22,156,164,197,174,11:42,northcentral,m
Tucker Hood,58,627,78,375,43,256,239,145,98,200,169,11:40,northcentral,m
Justin Lowinski,59,629,32,391,103,237,329,143,119,199,46,10:38,northcentral,m
Kevin Dart,60,631,47,389,196,199,63,152,68,209,257,12:07,northcentral,m
Mathew Fraser,1,25,2,415,6,317,12,165,4,247,1,08:18,northeast,m
Austin Malleolo,2,29,20,394,2,328,1,182,2,256,4,09:23,northeast,m
Craig Kenney,3,100,1,450,45,258,36,156,5,245,13,09:44,northeast,m
Brendan Marolda,4,116,39,390,5,321,25,157,21,226,26,09:58,northeast,m
James Hobart,5,128,24,393,3,327,79,152,1,261,21,09:51,northeast,m
Ian Berger,6,130,66,377,28,265,23,158,11,236,2,08:57,northeast,m
Dan Goldberg,7,182,9,400,7,277,96,151,24,226,46,10:18,northeast,m
Tyler Armstrong,8,186,5,403,49,255,70,152,8,236,54,10:24,northeast,m
Spencer Hendel,9,198,86,370,49,255,9,169,26,224,28,09:59,northeast,m
James Wozniak,10,209,100,363,19,268,45,155,28,223,17,09:47,northeast,m
Trevor James,11,210,36,391,43,260,20,159,77,210,34,10:05,northeast,m
Nicholas DelGrande,12,214,20,394,28,265,26,157,42,219,98,10:49,northeast,m
Anthony Vorachak,13,216,53,386,28,265,11,166,32,222,92,10:47,northeast,m
Jared Davis,14,236,10,397,73,246,16,162,104,202,33,10:04,northeast,m
Chase Smith,15,241,8,402,155,204,48,155,6,244,24,09:57,northeast,m
Robby Teixeira,16,247,5,403,19,268,145,148,38,220,40,10:15,northeast,m
Logan Schecter,17,297,15,396,12,273,215,146,17,230,38,10:11,northeast,m
Joe Silvestri,18,315,15,396,9,275,187,147,31,222,73,10:34,northeast,m
Joe Kearney,19,326,10,397,23,267,202,147,18,229,73,10:34,northeast,m
Carl Appel,20,369,76,373,18,269,219,146,14,232,42,10:16,northeast,m
Matt Simonton,21,402,3,410,183,202,187,147,22,226,7,09:30,northeast,m
Matt Hinds,21,402,83,371,47,256,212,146,40,220,20,09:50,northeast,m
Ryan Kononchik,23,403,143,359,35,262,59,153,55,214,111,10:54,northeast,m
Matt Prendergast,24,412,27,392,57,252,278,144,37,221,13,09:44,northeast,m
Tommy Wornham,24,412,216,354,26,266,67,153,73,210,30,10:01,northeast,m
Joseph Shea,26,425,239,353,31,264,37,156,33,222,85,10:44,northeast,m
Paul Smith,27,441,153,358,44,259,17,160,116,200,111,10:54,northeast,m
Cody Mooney,28,459,10,397,72,247,340,143,13,233,24,09:57,northeast,m
Christopher Guerrero,29,462,39,390,183,202,68,153,41,220,131,11:03,northeast,m
Tyler Mcbride,30,463,109,360,1,334,336,143,9,236,8,09:33,northeast,m
Kurt Garceau,31,470,86,370,108,236,3,176,45,217,228,11:35,northeast,m
Gary Sorrentino,32,472,48,388,121,207,33,156,131,199,139,11:06,northeast,m
Jay Adams,33,474,39,390,113,234,46,155,60,212,216,11:32,northeast,m
Matthew Sherburne,34,482,76,373,172,203,126,150,59,213,49,10:22,northeast,m
Adam Swarsen,35,486,384,347,19,268,24,157,49,217,10,09:38,northeast,m
Tom Walsh,36,494,104,361,140,205,91,151,98,204,61,10:29,northeast,m
Gabe Garcia,37,497,39,390,23,267,318,143,95,205,22,09:54,northeast,m
David Dubin,37,497,24,393,183,202,71,152,148,199,71,10:33,northeast,m
TJ Fabiano,39,504,53,386,129,206,63,153,138,199,121,11:00,northeast,m
Ben ISABELLA,40,507,10,397,183,202,176,147,15,231,123,11:01,northeast,m
Geoff Leard,41,513,66,377,214,200,40,155,98,204,95,10:48,northeast,m
David Callahan,42,517,109,360,54,253,14,163,188,197,152,11:10,northeast,m
Matt Shatkin,43,521,71,374,183,202,15,163,100,203,152,11:10,northeast,m
Tim Carroll,44,529,48,388,120,214,119,150,90,206,152,11:10,northeast,m
Doug Cahill,45,536,288,351,57,252,86,152,70,210,35,10:07,northeast,m
Rob Moloney,46,560,80,372,79,244,334,143,27,224,40,10:15,northeast,m
Michael Sabato,47,568,109,360,68,249,137,149,200,197,54,10:24,northeast,m
Zach Davis,47,568,109,360,199,201,106,150,69,211,85,10:44,northeast,m
Dannel Malloy,49,571,100,363,79,244,29,157,278,195,85,10:44,northeast,m
Nate Kuffrey,50,584,91,368,105,237,27,157,283,195,78,10:37,northeast,m
Tim Paulson,51,589,71,374,232,199,47,155,195,197,44,10:17,northeast,m
Mat Frankel,52,591,27,392,183,202,152,148,125,200,104,10:51,northeast,m
Michael Kim,53,594,80,372,31,264,374,142,94,205,15,09:45,northeast,m
Nick Brown,54,600,76,373,155,204,260,145,43,218,66,10:31,northeast,m
Brooks Farrar,55,641,5,403,140,205,77,152,114,200,305,11:55,northeast,m
Ryan Hughes,56,656,109,360,155,204,31,157,116,200,245,11:39,northeast,m
Dan Epstein,57,661,95,366,214,200,6,175,263,196,83,10:42,northeast,m
Kyle Geraci,57,661,99,364,199,201,208,146,119,200,36,10:08,northeast,m
Daniel Arias,59,662,239,353,12,273,262,145,83,208,66,10:31,northeast,m
Jared Sholly,60,671,20,394,183,202,58,153,231,196,179,11:21,northeast,m
Jason Khalipa,1,8,1,442,3,339,1,176,2,253,1,09:05,northerncalifornia,m
Neal Maddox,2,22,4,401,6,323,6,158,3,251,3,09:30,northerncalifornia,m
Marcus Filly,3,37,25,392,1,350,8,157,1,260,2,09:27,northerncalifornia,m
Garret Fisher,4,76,20,393,12,275,2,175,7,241,35,10:24,northerncalifornia,m
Lorin Adams,5,83,3,403,23,265,40,150,6,242,11,09:47,northerncalifornia,m
Chad Augustin,6,93,32,390,20,268,28,153,9,235,4,09:32,northerncalifornia,m
Wes Piatt,7,101,9,398,13,274,13,155,14,229,52,10:43,northerncalifornia,m
Pat Barber,8,105,4,401,46,255,27,153,12,231,16,09:58,northerncalifornia,m
Adam Jamieson,9,108,13,396,23,265,3,163,49,206,20,10:00,northerncalifornia,m
Blair Morrison,10,113,41,384,17,269,20,154,29,217,6,09:33,northerncalifornia,m
Ryan Hignell,11,130,13,396,5,325,74,146,15,228,23,10:09,northerncalifornia,m
